SITE_ID,NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
836,Annapolis Royal Historic District,Arrondissement historique d'Annapolis Royal,Corner of St George St. and St. James St.,<Null>,Annapolis Royal,Nova Scotia,Strategic colonial capital with evolved townsite plan,Capitale coloniale strat&eacute;gique et lotissement urbain &eacute;volu&eacute;,44.743399,-65.51998
536,Annesley Hall,Annesley Hall,95 Queen's Park Crescent,on post in front of buildling,Toronto,Ontario,"University Building (Women's Residence) in Queen Anne Revival Style, 1902-03","R&eacute;sidence universitaire pour jeunes femmes de style n&eacute;o-Queen Anne, 1902-1903",43.667527,-79.392888
260,Antigonish County Court House,Palais de justice du comt&eacute; d'Antigonish,170 Main Street,<Null>,Antigonish,Nova Scotia,"Typical mid 19th-century Maritime court house, 1855",&Eacute;difice typique des palais de justice construits dans les Maritimes au milieu du XIXe si&egrave;cle (1855),45.623206,-61.987757
1817,Apitipik,Apitipik,Mouth of the Duparquet River on Lake Abitibi,<Null>,Pikogan Indian Reserve,Quebec,Traditional summering area and sacred place for the Algonquin,Aire d'estivage traditionnelle et lieu sacr&eacute; pour les Algonquins,48.664028,-79.324281
581,Apothecaries Hall,Apothecaries Hall,150 Queen Street,on the Hughes Drug Company Building,Charlottetown,Prince Edward Island,Prominent 19th-century pharmacy; one of the longest continually operated pharmacies in Canada,Emplacement d'une pharmacie r&eacute;put&eacute;e du XIXe si&egrave;cle; une des pharmacies ayant connu la plus longue p&eacute;riode d'activit&eacute; ininterrompue au Canada,46.234632,-63.128084
582,Ardgowan,Ardgowan,1 Confederation Street - 2 Palmers Lane,on wall,Charlottetown,Prince Edward Island,"Residence of Father of Confederation William Henry Pope, circa 1850","Maison habit&eacute;e par William Henry Pope, p&egrave;re de la Conf&eacute;d&eacute;ration; construite vers 1850",46.251826,-63.126329
2101,Argyle Township Court House and Gaol,Palais de justice et prison du canton d'Argyle,8168 Highway 3,<Null>,Tusket,Nova Scotia,Oldest known surviving combined court house and jail,Palais de justice-prison le plus ancien parmi ceux qui existent encore et dont on conna&Icirc;t l'existence,43.854893,-65.974456
166,Arts Building,Pavillon des Arts,<Null>,"Kings College, University of New Brunswick",Fredericton,New Brunswick,"Oldest extant university building in Canada, 1826-27","Le plus vieux &eacute;difice universitaire encore en usage au Canada, 1826-1827",45.948274,-66.641256
847,Arvia'juaq and Qikiqtaarjuk,Arvia'juaq et Qikiqtaarjuk,<Null>,<Null>,"Qikiqtarjuac, Sentry Island",Nunavut,Inuit summer occupation sites with rich history and surviving in situ resources,"Site o&ugrave; les Inuit s&eacute;journaient durant l'&eacute;t&eacute;, dot&eacute; d'une riche histoire et d'importantes ressources in situ",61.151644,-93.920039
,Arvida,Arvida,,,Arvida,Quebec,,,48.429625,-71.193883
28,Athabasca Pass,Col Athabasca,<Null>,"near ""The Communities Punch Bowl""",Jasper National Park of Canada,Alberta,Major fur trade transportation route through the Rocky Mountains,Importante voie de communication pour le commerce des fourrures qui traverse les Rocheuses,52.380719,-118.185948
1987,Atlas N&ordm; 3 Coal Mine,Mine de charbon Atlas Num&eacute;ro Trois,<Null>,<Null>,East Coulee,Alberta,Exceptionally well-preserved coal mine plant,Usine de charbon tr&egrave;s bien conserv&eacute;e,51.329498,-112.481841
2096,Atwater Library of the Mechanics' Institute of Montreal,Biblioth&egrave;que Atwater du Mechanics' Institute of Montreal,1200 Atwater Avenue,<Null>,Montr&eacute;al,Quebec,Home to the first Mechanics' Institute in Canada (established 1828); oldest subscription library in Canada,Premier Mechanics' Institute &agrave; avoir vu le jour au Canada (1828); la plus ancienne biblioth&egrave;que de pr&ecirc;t payant fond&eacute;e en sol canadien,45.488679,-73.584278
193,Augustine Mound,Tumulus Augustine,<Null>,<Null>,Red Bank Indian Reserve (Metepenagiag),New Brunswick,Pre-contact burial mound,Tertre fun&eacute;raire de la p&eacute;riode pr&eacute;-contact,46.955225,-65.832503
1872,Backhouse Grist Mill,Moulin &agrave; Farine Backhouse,Backus Mills Rd.,Backus Heritage Conservation Area,Port Rowan,Ontario,"One of the oldest and best preserved small water-powered establishments, 1798",L'un des plus vieux moulins actionn&eacute;s par l'eau et l'un des mieux pr&eacute;serv&eacute;s (1798),42.653518,-80.468524
537,Balmoral Fire Hall,Caserne de Pompiers Balmoral,Balmoral Avenue,<Null>,Toronto,Ontario,"Rare Queen Anne Revival fire hall, 1911",Rare sp&eacute;cimen d'une caserne de pompiers de style n&eacute;o-Queen Anne (1911),43.685787,-79.39389
1993,Banc de P&ecirc;che de Pasp&eacute;biac,Banc de P&ecirc;che de Pasp&eacute;biac,Third Street (South end),<Null>,Pasp&eacute;biac,Quebec,Fishing complex recalling the cod fishery of Canada's East Coast,Installations de p&ecirc;che comm&eacute;morant la p&ecirc;che &agrave; la morue sur la c&ocirc;te est du Canada,48.020836,-65.254225
1,Banff Park Museum,Mus&eacute;e du Parc-Banff,91 Banff Avenue,"on a panel in front of the building, Banff",Banff National Park of Canada,Alberta,"Early natural history museum in Rustic style, 1902-03",Vieux mus&eacute;e d'histoire naturelle de style Rustique (1902-03),51.173769,-115.571671
2,Banff Springs Hotel,H&ocirc;tel Banff Springs,Spray Avenue,Banff,Banff National Park of Canada,Alberta,"Famous railway resort hotel in Ch&acirc;teau style, 1912",H&ocirc;tel de vill&eacute;giature r&eacute;put&eacute; construit par une soci&eacute;t&eacute; ferroviaire dans le style Ch&acirc;teau (1912,51.164362,-115.56183
650,Bank of Montr&eacute;al,Banque de Montr&eacute;al,1850 Notre Dame Street Ouest at Des Seigneurs,<Null>,Montr&eacute;al,Quebec,"Queen Anne Revival style in sandstone, built in 1894",&Eacute;difice de gr&egrave;s de style n&eacute;o-Queen Anne construit en 1894,45.487781,-73.568735
538,Bank of Upper Canada Building,Banque du Haut-Canada,252 Adelaide Street East,front wall of building,Toronto,Ontario,Home of important 19th-century bank,&Eacute;difice ayant abrit&eacute; une importante banque du XIXe si&egrave;cle,43.651823,-79.370885
1850,Banting House,Maison Banting,442 Adelaide Street North,<Null>,London,Ontario,Documented and recognized as the site of the defining moment of the discovery of insulin,Document&eacute;e et reconnue comme &eacute;tant l'endroit o&ugrave; fut d&eacute;couverte l'insuline,42.989967,-81.231917
40,Bar U Ranch,Ranch Bar U,PO Box 168,<Null>,Longview,Alberta,"Historic ranch in Alberta foothills, 1883",Ranch historique situ&eacute; au contrefort des Rocheuses en Alberta (1883),50.422812,-114.245099
933,Barkerville,Barkerville,<Null>,<Null>,Barkerville,British Columbia,Centre of the Cariboo gold fields which led to economic and political development of British Columbia,La ru&eacute;e vers l'or de 1860 a men&eacute; au d&eacute;veloppement &eacute;conomique et politique de la Colombie-Britannique,53.069736,-121.514211
382,Barnum House,Maison Barnum,10568 Highway 2 at Barnum House Road,side grounds alongside highway,Grafton,Ontario,"Neoclassic domestic architecture, circa 1820","Sp&eacute;cimen d'architecture domestique de style n&eacute;o-classique, vers 1820",43.991017,-78.043583
250,Basilica of St. John the Baptist,Basilique catholique St. John the Baptist,172 Military Road,<Null>,St. John's,Newfoundland and Labrador,"Romanesque Revival basilica, important role in the religious, political and social history of its region","Basilique romane datant de 1839, symbole de l'influence de l'&eacute;glise catholique &agrave; Terre-Neuve (1839-55)",47.567187,-52.710164
740,Batoche,Batoche,PO Box 999,beside interpretive centre,Batoche,Saskatchewan,M&eacute;tis village; site of 1885 Battle of Batoche; Northwest Rebellion,Village m&eacute;tis; lieu de la bataille de Batoche en 1885; R&eacute;bellion du Nord-Ouest,52.753665,-106.111193
1806,Battle Harbour Historic District,Arrondissement historique de Battle Harbour,<Null>,"30 ft from a plaque which was erected in 1997 commemorating ""Labrador Fishery and Battle Harbour"".",Battle Harbour,Newfoundland and Labrador,District evocative of the 19th- and early 20th-century fishing outports of Newfoundland and Labrador,District &eacute;voquant les petits ports de p&ecirc;che isol&eacute;s de Terre-Neuve et du Labrador au XIXe si&egrave;cle et au d&eacute;but du XXe,52.274001,-55.585402
571,Battle Hill,Colline de la Bataille,Longwoods Road,<Null>,Wardsville,Ontario,"Raid by Americans on small advancing British force, 1814; War of 1812","Emplacement de la bataille des Longwoods, 1814; guerre de 1812",42.694133,-81.70565
531,Battle of Beaver Dams,Bataille de Beaver Dams,near Sullivan Avenue,Battle of Beaver Dams Park,Thorold,Ontario,1813 British victory (Laura Secord); War of 1812,Lieu o&ugrave; les Anglais ont remport&eacute; une victoire en 1813 (Laura Secord); guerre de 1812,43.12275,-79.201483
365,Battle of Chippawa,Bataille de Chippawa,Niagara River Parkway,Battle of Chippawa Park,Chippawa,Ontario,1814 battle in which American regulars defeat British; War of 1812,Lieu o&ugrave; s'est livr&eacute;e une bataille en 1814; guerre de 1812,43.05265,-79.0241
572,Battle of Cook's Mills,Bataille de Cook's Mills,Lyons Creek and Matthews Roads,<Null>,Cooks Mills,Ontario,"One of final battles of the War of 1812, Americans prevail in battle but later withdraw to Fort Erie",Lieu o&ugrave; les Anglais ont remport&eacute; une victoire pendant la guerre de 1812,42.997917,-79.1749
431,Battle of Crysler's Farm,Bataille de la ferme Crysler,<Null>,Upper Canada Village,Morrisburg,Ontario,One of decisive battles of War of 1812; British victory over Americans; ends American attempt to capture Montreal,Lieu o&ugrave; s'est livr&eacute;e une des batailles d&eacute;cisives de la guerre de 1812,44.941913,-75.070109
746,Battle of Cut Knife Hill,Bataille de Cut Knife,<Null>,<Null>,"Cut Knife, Poundmaker Reserve",Saskatchewan,Cree repulse Canadian attack; Northwest Rebellion 1885,Les cris repoussent une attaque des Canadiens (1885); R&eacute;bellion du Nord-Ouest,52.839209,-108.962422
747,Battle of Duck Lake,Bataille de Duck Lake,Carlton Road,<Null>,Duck Lake,Saskatchewan,First battle of 1885 Northwest Rebellion,Premi&egrave;re bataille engag&eacute;e pendant la R&eacute;bellion du Nord-Ouest (1885),52.824277,-106.274239
622,Battle of Eccles Hill,Bataille d'Eccles Hill,Eccles Hill Road,<Null>,Frelighsburg,Quebec,"Foiled Fenian invasion, 1870",Incursion des Fenians qui a &eacute;chou&eacute; (1870),45.019293,-72.90434
637,Battle of Lacolle,Bataille de Lacolle,corner of highway 202 east and 223 north,<Null>,Notre-Dame-du-Mont-Carmel,Quebec,"Defence against American attack, 1814; War of 1812","D&eacute;fense contre une attaque des Am&eacute;ricains, 1814; guerre de 1812",45.067556,-73.343815
435,Battle of Lundy's Lane,Bataille de la ruelle de Lundy,<Null>,on Lundy's Lane Monument in cemetery,Niagara Falls,Ontario,Bloodiest battle of War of 1812,Lieu o&ugrave; s'est livr&eacute;e la bataille la plus sanglante de toute la guerre de 1812,43.089259,-79.09586
664,Battle of Rivi&egrave;re des Prairies / Battle of Coul&eacute;e Grou,Bataille de Rivi&egrave;re-des-Prairies / combat de la coul&eacute;e Grou,13470 Gouin Boulevard East - Highway 37,<Null>,Montr&eacute;al,Quebec,1690 battle between French and Iroquois,Lieu o&ugrave; Fran&ccedil;ais et Iroquois se sont livr&eacute; bataille en 1690,45.698864,-73.503834
721,"Battle of September 6th, 1775",Bataille du 6 septembre 1775,Jacques-Cartier Street South,St. John's Golf Club,Saint-Jean-sur-Richelieu,Quebec,"British victory over invading Americans, 1775",Victoire des Anglais contre l'envahisseur am&eacute;ricain,45.280184,-73.256696
149,Battle of Seven Oaks,Bataille de Seven Oaks,1611 Main Street at Rupertsland Blvd.,<Null>,Winnipeg,Manitoba,"Conflict between M&eacute;tis and Red River settlers, 1816",Escarmouche entre des M&eacute;tis et des colons de la rivi&egrave;re Rouge (1816),49.93135,-97.120867
528,Battle of Stoney Creek,Bataille de Stoney Creek,77 King Street West,<Null>,Stoney Creek,Ontario,British victory; War of 1812,Lieu o&ugrave; les Anglais ont remport&eacute; une victoire pendant la guerre de 1812,43.216633,-79.76645
642,Battle of the Cedars,Bataille des C&egrave;dres,River Road,<Null>,Les C&egrave;dres,Quebec,1776 British victory over invading American army,"Victoire des Anglais contre l'envahissseur am&eacute;ricain, 1776",45.309915,-74.035331
597,Battle of the Ch&acirc;teauguay,Bataille de la Ch&acirc;teauguay,2371 Rivi&egrave;re-Ch&acirc;teauguay-Nord,<Null>,Allans Corners,Quebec,1813 battle in defence of Lower Canada; War of 1812,Bataille ayant eu lieu en 1813 pour d&eacute;fendre le Bas-Canada; guerre de 1812,45.158851,-73.928586
724,Battle of the Lake of Two Mountains,Bataille du Lac-des-Deux-Montagnes,north side of Senneville Road,1928 - Highway 37 / 1972 - north side of Senneville Road,Montr&eacute;al,Quebec,"Defeat of Iroquois by French, 1689",Lieu o&ugrave; les Fran&ccedil;ais ont d&eacute;fait les Iroquois en 1689,45.447907,-73.940145
710,Battle of the Restigouche,Bataille de la Ristigouche,Route 132,Right of the path from the parking area to the Parks Canada Interpretation Centre,Pointe-&agrave;-la-Croix,Quebec,Last naval battle in Seven Years' War,Lieu de dernier combat naval de la guerre de Sept Ans,48.013427,-66.735395
503,Battle of the Windmill,Bataille du Moulin-&agrave;-Vent,County Road 2 East,<Null>,Prescott,Ontario,"American invasion mission foiled, 1838",Tentative de soul&egrave;vement que les Britanniques ont fait &eacute;chouer en 1838,44.721236,-75.487364
748,Battle of Tourond's Coulee / Fish Creek,Bataille de la coul&eacute;e des Tourond &ndash; Fish Creek,<Null>,<Null>,Fish Creek,Saskatchewan,"Battle between M&eacute;tis and Canadian forces, Northwest Rebellion 1885",Lieu o&ugrave; des M&eacute;tis et des troupes canadiennes se sont livr&eacute; bataille en 1885; R&eacute;bellion du Nord-Ouest,52.53901,-106.152659
735,Battle of Trois-Rivi&egrave;res,Bataille de Trois-Rivi&egrave;res,"near 956, boulevard des Forges / Lafl&egrave;che Street",<Null>,Trois-Rivi&egrave;res,Quebec,"British victory over American troops, 1776","Lieu o&ugrave; les Anglais ont remport&eacute; une victoire contre des troupes am&eacute;ricaines, 1776",46.343908,-72.551879
1248,Battlefield of Fort George,Champ de Bataille du Fort George,Queen Street,<Null>,Niagara-on-the-Lake,Ontario,"War of 1812, capture of Fort George by Americans, May 1813","Guerre de 1812, capture du Fort George par les Am&eacute;ricains en 1813",43.261948,-79.084746
741,Battleford Court House,Palais de justice de Battleford,291 23rd Street,On wall of court house,Battleford,Saskatchewan,1909 symbol of justice in new province,"&Eacute;difice construit en 1909, symbole de la justice dans la nouvelle province",52.73695,-108.311312
89,Bay Street Drill Hall,Man&egrave;ge militaire de la rue Bay,715 Bay Street,<Null>,Victoria,British Columbia,"Fortress-like World War I drill hall, 1914-15","Man&egrave;ge militaire du genre forteresse qui date de la Premi&egrave;re Guerre mondiale, 1914-1915",48.43538,-123.36395
1991,BCATP Hangar No. 1,Hangar Num&eacute;ro Un du PEACB,Highway 10 (2 km north of Hwy 1),"Commonwealth Air Training Museum, Brandon Municipal Airport",Brandon,Manitoba,"Excellent, well-preserved example of a British Commonwealth Air Training Plan hangar built during World War II",Un excellent exemple bien pr&eacute;serv&eacute; d'un hangar du Plan d'entra&icirc;nement a&eacute;rien du Commonwealth britannique construit durant la Seconde Guerre mondiale,49.903583,-99.94345
539,Bead Hill,Colline Bead,72 &amp; 98 Old Kingston Road,<Null>,Toronto,Ontario,Only known remaining and intact 17th-century Seneca site in Canada,Le seul site S&eacute;n&eacute;ca connu encore existant et intact du 17e si&egrave;cle au Canada,43.803579,-79.140913
2102,Beaubassin,Beaubassin,Highway 4,Fort Lawrence,Fort Lawrence,Nova Scotia,Major Acadian settlement; pivotal place in 17th- and 18th-century North American geopolitical struggle between the British and French,Important &eacute;tablissement acadien; point central de la lutte g&eacute;opolitique qui opposa les fran&ccedil;ais et britannique aux XVIIe et XVIIIe si&egrave;cles en Am&eacute;rique du Nord,45.847286,-64.261052
2005,Beaubears Island Shipbuilding,Construction Navale &agrave; l'&Icirc;le Beaubears,"Highway 8, Northwest Bridge",<Null>,Miramichi,New Brunswick,Archaeological site associated with nineteenth-century shipbuilding in New Brunswick,Site arch&eacute;ologique associ&eacute; &agrave; la construction navale du XIXe si&egrave;cle au Nouveau-Brunswick,46.977393,-65.562429
600,Beauharnois Power Development,Centrale hydro-&eacute;lectrique de Beauharnois,80 Edgar H&eacute;bert Boulevard,<Null>,Beauharnois,Quebec,"Economically and technologically important, 1929-32",Construite entre 1929 et 1932; important sur le plan tant &eacute;conomique que technique,45.314055,-73.908635
11,Beaulieu,Beaulieu,707 13th Avenue SW,<Null>,Calgary,Alberta,"Sandstone mansion of Sir James A. Lougheed, 1891","Maison cossue en gr&egrave;s de sir James A. Lougheed, construite en 1891",51.040417,-114.076717
1799,Beaumont-Hamel,Beaumont-Hamel,<Null>,at the Beaumont-Hamel Newfoundland Memorial,Beaumont-Hamel,France,"Represents Newfoundland's accomplishment, contribution and sacrifice in World War I","Repr&eacute;sentatif des r&eacute;alisations, de la contribution et du sacrifice de Terre-Neuve durant la Premi&egrave;re Guerre mondiale",50.072266,2.647839
2340,Beausoleil Island,&Icirc;le Beausoleil,<Null>,<Null>,Beausoleil Island,Ontario,Representative of the cultural landscape of the Anishinaabeg of the southern Georgian Bay region; setting for traditional narratives,Est repr&eacute;sentative du paysage culturel des Anishinaabeg du sud de la baie Georgienne; sert de cadre aux r&eacute;cits traditionnels,44.848012,-79.865367
838,Bedford Petroglyphs,P&eacute;troglyphes de Bedford,<Null>,<Null>,Bedford,Nova Scotia,Spiritually significant petroglyph site,Site de p&eacute;troglyphes d'importance spirituelle,44.729511,-63.668185
820,Beechey Island Sites,Sites de l'&icirc;le Beechey,<Null>,<Null>,Beechey Island,Nunavut,1845-46 wintering site of Sir John Franklin's ill-fated Northwest Passage Expedition; archaeological complex containing representatives of most types of 19th century Arctic exploration,Sites li&eacute;s &agrave; l'exploration dans l'Arctique au XIXe si&egrave;cle,74.709272,-91.812351
1969,Beechwood Cemetery,Cimeti&egrave;re Beechwood,280 Beechwood Avenue,<Null>,Ottawa,Ontario,"Exceptional example of 19th-century rural cemetery design characterized by a naturalistic, pastoral and picturesque landscape","Exemple exceptionnel des cimeti&egrave;res ruraux du XIXe si&egrave;cle, mod&egrave;le de cimeti&egrave;re que caract&eacute;rise un am&eacute;nagement naturel, champ&ecirc;tre et pittoresque",45.445317,-75.66685
1857,Begbie Hall,Begbie Hall,2101 Richmond Street,Royal Jubilee Hospital,Victoria,British Columbia,Nurses' residences were central to the nursing culture,Les r&eacute;sidences d'infirmi&egrave;res &eacute;taient un &eacute;l&eacute;ment essentiel de la culture infirmi&egrave;re,48.43123,-123.32953
601,B&eacute;langer-Girardin House,Maison B&eacute;langer-Girardin,600 Royale Avenue,<Null>,Beauport,Quebec,Representative of early French regime houses; 1727-35,"Repr&eacute;sentative des maisons construites sous le R&eacute;gime fran&ccedil;ais, vers 1727-1735",46.859261,-71.191965
1791,Bell Homestead,Maison familiale rurale de Bell,94 Tutela Heights Road,<Null>,Brantford,Ontario,Location of important events in Alexander Graham Bell's life,Site d'&eacute;v&eacute;nements importants dans la vie d'Alexander Graham Bell,43.107896,-80.27078
345,Belle Vue,Belle Vue,525 Dalhousie Street,Mounted on post in front of house,Amherstburg,Ontario,"Military residence in Palladian style, 1816-19","R&eacute;sidence militaire de style palladien, 1816-1819",42.092867,-83.112483
350,Belleville Railway Station (Grand Trunk),Gare du Grand Tronc &agrave; Belleville,220 Station Street,<Null>,Belleville,Ontario,"Typical mid 19th-century Grand Trunk design, 1855-56",&Eacute;difice typique des gares construites par le Grand Tronc au milieu du XXe si&egrave;cle (1855-56),44.179333,-77.374717
394,Bellevue House,Villa Bellevue,35 Centre Street,<Null>,Kingston,Ontario,"Important Italianate villa 1840's; home of Sir John A. Macdonald, Prime Minister of Canada (1867-73, 1878-91)","Importante villa &agrave; l'italienne 1840's; maison de sir John A. Macdonald, premier ministre du Canada (1867-1873, 1878-1891)",44.22285,-76.504333
184,Belmont House / R. Wilmot Home,Maison Belmont / maison R. Wilmot,Highway 102 / Thatch Road,In front of house,Lincoln,New Brunswick,"Home of politician and Father of Confederation, Robert Duncan Wilmot, circa 1820",Maison o&ugrave; a v&eacute;cu l'homme politique et p&egrave;re de la Conf&eacute;d&eacute;ration Robert Duncan Wilmot dans les ann&eacute;es 1820,45.870355,-66.516425
602,Berthier Railway Station (Canadian Pacific),Gare du Canadien Pacifique &agrave; Berthier,<Null>,<Null>,Sainte-Genevi&egrave;ve-de-Berthier,Quebec,"Functional and domestic in style, early 1890s",Gare fonctionnelle du d&eacute;but des ann&eacute;es 1890; style qui s'inspire de l'architecture domestique,46.088408,-73.212472
681,Beth Isra&euml;l Cemetery,Cimeti&egrave;re Beth Isra&euml;l,R&eacute;n&eacute; Levesque Boulevard,<Null>,Qu&eacute;bec,Quebec,19th-century cemetery reflecting Jewish burial traditions,Cimeti&egrave;re du XIXe si&egrave;cle qui t&eacute;moigne des coutumes fun&eacute;raires des juifs,46.784427,-71.259634
