NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
"Aubert de La Chesnaye, Charles","Aubert de La Chesnaye, Charles",Du Sault-au-Matelot St.,On wall of building facing rue du Sault-au-Matelot,Québec,Quebec,"Leading businessman in fur trade, commerce, real estate, shipping","Homme d'affaires éminent: traite de la fourrure, commerce, immobilier, navires",46.814037,-71.203122
"Back, Sir George","Back, sir George",<Null>,<Null>,*    Reliance,Northwest Territories,Artist and Artic explorer; Franklin's 1819-22 and 1824-27 expeditions,Artiste et explorateur de l'Arctique; expéditions de Franklin de (1819-22 et 1824-27),62.714339,-109.16379
"Back, Sir George","Back, sir George",<Null>,<Null>,Chantrey Inlet,Nunavut,Artist and artic explorer; Franklin's 1819-22 and 1824-27 expeditions,Artiste et explorateur de l'Arctique; expéditions de Franklin de (1819-1822 et 1824-1827),67.739529,-96.169787
"Baffin, William","Baffin, William",<Null>,<Null>,Pangnirtung,Nunavut,"Arctic explorer, mapped Hudson Strait and Davis Strait (1615-16)","Explorateur de l'Arctique, cartographe du détroit d'Hudson et du détroit de Davis (1615-1616)",66.133083,-65.6778
"Bagot, Sir Charles","Bagot, sir Charles",<Null>,grounds of Kingston General Hospital NHSC,Kingston,Ontario,"Governor General of British North America (1841-43), associated with development of responsible government",Gouverneur général de l'Amérique du Nord britannique (1841-1843); associé au développement du gouvernement responsable,44.224617,-76.493017
"Baldwin, Frederick Walker 'Casey'","Baldwin, Frederick Walker «Casey»",<Null>,Alexander Graham Bell NHSC,Baddeck,Nova Scotia,"Engineer, worked with Alexander Graham Bell, designed aircraft and hydrofoil","Ingénieur, collaborateur d'A. G. Bell, dessinateur d'aéronefs et d'hydroptères",46.103406,-60.744966
"Baldwin, Robert","Baldwin, Robert",<Null>,"Main Building, Parliament Buildings, Queen's Park",Toronto,Ontario,"Reformer, co-premier of Province of Canada (1842-43, 1848-51), achieved responsible government","Réformateur, co-premier ministre de la Province du Canada (1842-1843, 1848-1851); a réalisé le gouvernement responsable",43.662417,-79.391166
"Banting, Sir Frederick G.","Banting, sir Frederick G.",100 College Street,on wall of Best Institute,Toronto,Ontario,"Co-discoverer of insulin, shared Nobel Prize for medicine in 1923","Co-découvreur de l'insuline, co-récipiendaire du prix Nobel de médecine en 1923",43.6603,-79.38775
"Banting, Sir Frederick G.","Banting, sir Frederick G.",5116 Sir Frederick Banting Road,Banting Homestead,Alliston,Ontario,"Co-discoverer of insulin, shared Nobel Prize for medicine in 1923","Co-découvreur de l'insuline, co-récipiendaire du prix Nobel de médecine en 1923",44.166944,-79.846666
"Barbeau, Charles-Marius","Barbeau, Charles-Marius",100 Laurier Street,Canadian Museum of Civilization,Hull,Quebec,"Pioneer Canadian ethnographer and folklorist, wrote on arts, crafts, songs","Pionnier de l'ethnographie et du folklore au Canada, a écrit sur les arts, les métiers et les chansons",45.430505,-75.709062
"Barker, Lieutenant-Colonel William George 'Billy', VC","Barker, lieutenant-colonel William George «Billy», VC",Highway 10 (5km south of Dauphin),"On a large granite boulder, Barker Airport",Dauphin,Manitoba,Renowned and decorated serviceman - a leading air ace; World War I,Militaire réputé et décoré - as de l'aviation,51.101,-100.05835
"Bartlett, Captain Robert Abram","Bartlett, capitaine Robert Abram",<Null>,On the shore behind church.,Brigus,Newfoundland and Labrador,"Arctic explorer, Peary expedition (1908-09), arctic voyages (1913-18, 1926-45)","Explorateur de l'Arctique, expédition de Peary (1908-09), voyages dans l'Arctique (1913-18 et 1926-45)",47.535868,-53.204566
"Beauchesne, Arthur","Beauchesne, Arthur",<Null>,Parliament Hill,*    Ottawa,Ontario,Specialist of Canadian parliamentary procedure,Spécialiste de la procédure parlementaire au Canada,45.424002,-75.699012
"Beaulieu II, François","Beaulieu II, François",<Null>,River Bank Park,*    Fort Smith,Northwest Territories,"Founding father of Northwest Territories Métis, pre-eminent Métis leader","Fondateur des Métis des Territoires du Nord-Ouest, chef métis remarquable",60.007977,-111.894791
"Beck, Sir Adam","Beck, sir Adam",300 Dufferin Avenue,at the Town Hall,London,Ontario,Regarded as the father of Ontario Hydro,Considéré comme le père de Hydro-Ontario,42.996525,-81.206622
"Beers, George","Beers, George",<Null>,<Null>,*    Montréal,Quebec,"Founder of modern lacrosse, established first Canadian Dentistry Journal",Fondateur du jeu moderne de la crosse et de la première revue canadienne de médecine dentaire,45.5,-73.6
"Begbie, Sir Matthew Baillie","Begbie, sir Matthew Baillie",<Null>,Maritime Museum (old  Court House) Bastion Square,Victoria,British Columbia,"Famous judge, Chief Justice of British Columbia (1870-94)","Juge célèbre, juge en chef de la Colombie-Britannique (1870-1894)",48.425833,-123.369033
"Belcher, Sir Edward","Belcher, sir Edward",<Null>,"in Administration Annex, HMC Dockyard",Halifax,Nova Scotia,"Canadian-born naval officer and surveyor, led 1852-54 Franklin search","Officier de marine et arpenteur né au Canada, à la tête des recherches de Franklin, 1852-54",44.659379,-63.592508
"Belcourt, Reverend Georges-Antoine","Belcourt, révérend Georges-Antoine",Church Street,Farmers' Bank of Rustico National Historic Site,Rustico,Prince Edward Island,"Roman Catholic missionary at Red River (1831-58), founded Farmers' Bank of Rustico, Prince Edward Island","Missionnaire catholique à Red River (1831-58), fondateur de «Farmers' Bank» de Rustico, Île-du-Prince-Édouard",46.423282,-63.283333
"Bell, Robert","Bell, Robert",601 Booth Street,In front of EMR Building,Ottawa,Ontario,"Explorer and geologist, Chief Geologist of Canada (1890-1906)","Explorateur et géologue, géologue en chef du Canada (1890-1906)",45.401833,-75.705483
"Bengough, John Wilson","Bengough, John Wilson",66 Charles Street East,<Null>,Toronto,Ontario,"Noted cartoonist, journalist, poet and lecturer","Caricaturiste, journaliste, poète et conférencier reconnu",43.669347,-79.383231
"Bennett, Charles Fox","Bennett, Charles Fox",Prince Philip Drive,Confederation Building,St. John's,Newfoundland and Labrador,Noted Newfoundland entrepreneur and political leader,Entrepreneur et leader politique reconnu de Terre-Neuve,47.584018,-52.723064
"Bennett, Rt. Hon. Richard Bedford","Bennett, très honorable Richard Bedford",<Null>,<Null>,Hopewell Cape,New Brunswick,Prime Minister of Canada (1930-35),Premier ministre du canada (1930-1935),45.85,-64.583333
"Bennett, Rt. Hon. Richard Bedford","Bennett, très honorable Richard Bedford",corner of 13 Ave. S.W. & 2 St. S.W.,"Central Memorial Park, beside the library building in the South East corner of the park.",Calgary,Alberta,Prime Minister of Canada (1930-35),Premier ministre du Canada (1930-1935),51.041033,-114.068633
"Bernier, Captain Joseph-Elzéar","Bernier, capitaine Joseph-Elzéar",<Null>,<Null>,L'Islet,Quebec,Key figure in establishing Canadian sovereignty over Arctic Archipelago,Personnage clé de l'affirmation de la souveraineté canadienne sur l'archipel arctique,47.12342,-70.371
"Bethune, Henry Norman","Bethune, Henry Norman",235 John Street North,front lawn Bethune Memorial House NHSC,Gravenhurst,Ontario,Famous medical figure and political activist,Médecin et activiste politique célèbre,44.920584,-79.375994
"Bibaud, Michel","Bibaud, Michel",4498 Cote-des-Neiges Road,<Null>,Montréal,Quebec,Early 1830s French-Canadian poet and historian,Poète et historien Canadien-français des années 1830,45.495393,-73.606258
"Bibb, Mary and Henry","Bibb, Mary and Henry","between Riverside Dr. and Pitt St., east of Goyeau St.",Civic Green (Windsor Park),Windsor,Ontario,"Influenced the development of the African Canadian community through their newspaper, ""Voice of the Fugitive""","Ont exercé une influence sur le développement de la communauté afro-canadienne grâce à leur journal, «Voice of the Fugitive»",42.300561,-83.076319
"Bishop, Air Marshal William Avery","Bishop, Maréchal de l'air William Avery",948 3rd Avenue West,"front lawn to left of pathway, Billy Bishop Museum",Owen Sound,Ontario,"World War I flying ace, awarded Victoria Cross","As de la Première Guerre mondiale, décoré de la Croix de Victoria",44.566117,-80.94775
"Black, Davidson","Black, Davidson", 1 King's College Circle,"Inside Medical Science Building, University of Toronto",Toronto,Ontario,"Physician and palaeontologist, identified ""Peking Man"" fossils (1927)","Médecin et paléontologue, auteur de l'identification des fossiles de «L'homme de Péking» (1927)",43.661011,-79.392563
"Black, Martha Louise","Black, Martha Louise",<Null>,On a rock on the site of the Commissioner's Residence,Dawson,Yukon Territory,"Second woman elected as Member of Parliament (1935), prominent Yukon figure","Deuxième femme élue députée (1935), personnalité éminente du Yukon",64.058506,-139.438766
"Blackburn, Thornton and Lucie","Blackburn, Thornton et Lucie",19 Sackville Street,Sackville Street School Playgrounds,Toronto,Ontario,Legendary escapees from slavery who established first cab company in Toronto,"Réfugiés légendaires qui, après avoir fui l'esclavage, ont créé la première compagnie de taxis à Toronto",43.6538,-79.3594
"Blake, Edward","Blake, Edward",399 Ridout Street North,in Middlesex County Court House NHSC,London,Ontario,"Ontario Premier (1871-72), noted Liberal leader and thinker","Premier ministre de l'Ontario (1871-1872), chef et penseur libéral connu",42.98214,-81.254407
"Blanshard, Richard","Blanshard, Richard",<Null>,<Null>,Victoria,British Columbia,First Governor of Vancouver Island (1849-51),Premier gouverneur de l'île de Vancouver (1849-1851),48.433333,-123.366667
"Blewett, Jean (McKishnie)","Blewett, Jean (McKishnie)",<Null>,in the Chatham Public Library,Chatham,Ontario,Popular early 20th-century poet and journalist,Poète et journaliste populaire du début du XXe siècle,42.402984,-82.185827
"Bombardier, Joseph-Armand","Bombardier, Joseph-Armand",1001 J.-A. Bombardier Avenue,On grounds of J. Armand Bombardier museum,Valcourt,Quebec,Industrialist and developer of snowmobile,Industriel et inventeur de la moto-neige,45.494799,-72.310324
"Bond, Sir Robert","Bond, sir Robert",<Null>,<Null>,Whitbourne,Newfoundland and Labrador,"Colonial Secretary of Newfoundland (1889-97), Prime Minister of Newfoundland (1900-09)","Secrétaire colonial de Terre-Neuve (1889-1897), premier ministre de Terre-Neuve (1900-1909)",47.416667,-53.533333
"Borden, Sir Robert Laird","Borden, sir Robert Laird",116 Hwy 1,on cut stone monument,Grand Pré,Nova Scotia,Prime Minister of Canada (1911-20),Premier ministre du Canada (1911-1920),45.102957,-64.305032
"Boss, Jim","Boss, Jim",<Null>,Near his cabin and cache,Lake Laberge,Yukon Territory,Provided guidance and inspiration to the Yukon's First Nations in their struggle for survival,Un guide et une source d'inspiration pour les Premières nations du Yukon dans la lutte qu'elles ont menée pour leur survie,61.183333,-135.2
"Boucher, Pierre","Boucher, Pierre",des Ursulines and des Casernes Streets,Small Park,Trois-Rivières,Quebec,"Noted government official, indian interpreter, wrote ""History of New France""","Représentant du gouvernement, interprète auprès des Autochtone, auteur d'une histoire de la Nouvelle-France",46.342985,-72.538818
"Bouchette, Lieutenant-Colonel Joseph","Bouchette, lieutenant-colonel Joseph",44 St. Louis Street,On wall of house,Québec,Quebec,"Surveyor General of Lower Canada (1804-41), author and map maker","Arpenteur en chef du Bas-Canada (1804-1841), auteur et cartographe",46.811577,-71.207767
"Bourassa, Henri","Bourassa, Henri",211 Du Saint-Sacrement Street,Devoir Building,Montréal,Quebec,"French-Canadian nationalist politician, founder and editor of ""Le Devoir""","Politicien nationaliste canadien-français, fondateur et rédacteur du journal «Le Devoir»",45.503054,-73.556271
"Bourgeoys, Marguerite","Bourgeoys, Marguerite",4245 Décarie Boulevard (corner of Monkland),Monklands / Villa Maria Convent NHSC,Montréal,Quebec,"Founded the Congrégation de Notre-Dame (1658), first Canadian religious community","Fondatrice de la Congrégation de Notre-Dame (1658), première communauté religieuse canadienne",45.48149,-73.617321
"Bourinot, Sir John George","Bourinot, sir John George","87 Esplanade, across the street from St. Patrick's Church (Old Sydney Socie",1949-Post Office / 1971-On the esplanade in front of the old Sydney Society Museum,Sydney,Nova Scotia,"Clerk of the House of Commons (1880-1902), founder of Royal Society of Canada","Greffier de la Chambre des communes (1880-1902), fondateur de la Société royale du canada",46.142951,-60.199052
"Bowell, Sir MacKenzie","Bowell, sir MacKenzie",Bridge Street,on the lawn of the Bridge St. Armouries,Belleville,Ontario,"Prime Minister of Canada (1894-96), senator, journalist and statesman","Premier ministre du Canada (1894-1896), sénateur, journaliste et homme d'État",44.163617,-77.383961
"Boyle, Joseph Whiteside 'Klondike Joe'","Boyle, Joseph Whiteside «Klondike Joe»",<Null>,On the bucket of Dredge No. 4,Bonanza Creek,Yukon Territory,"Mining entrepreneur, founded Klondike Mining Company (1904)","Entrepreneur minier, fondateur de la compagnie Klondike Mining (1904)",63.943943,-139.336161
"Brant, Molly (Tekonwatonti)","Brant, Molly (Tekonwatonti)",175 Rideau Street,Rideaucrest Home,Kingston,Ontario,"A mohawk woman, exercised considerable political influence, built up over a lifetime, among the Six Nations of the Iroquois","Grande diplomate, la Mohawk Molly Brant exerça une influence extraordinaire sur la puissante confédération iroquoise",44.238433,-76.482567
"Brick, Reverend John Gough","Brick, réverend John Gough",<Null>,Exterior wall of Post Office,Peace River,Alberta,"Anglican missionary, settlement of Peace River district","Missionnaire anglican, colonisation du district de Peace River",56.23247,-117.290023
"Briffa, Emmanuel","Briffa, Emmanuel",1240-48 Bernard Street,Outremont Theatre NHSC,*    Montréal,Quebec,"Exceptional cinema decorator from the 1920s to 1955, a particularly dynamic period for Canadian movie theatre architecture","A été un exceptionnel concepteur de décors de salles de cinéma des années 1920 à 1955, époque particulièrement dynamique pour l'architecture de cinéma au Canada",45.520065,-73.608384
"Brock, Sir Isaac","Brock, sir Isaac",Niagara Parkway,Brock's Monument,*    Queenston,Ontario,"A heroic figure and an enduring symbol of bravery, patriotism and Canadian nationhood; best-known military figure from the War of 1812","Un héros et le symbole durable de la bravoure, du patriotisme et de l'esprit national canadien",43.160129,-79.052926
"Brooks, Harriet","Brooks, Harriet",809 Sherbrooke St. West,"Macdonald-Stewart Library, McGill University",*    Montréal,Quebec,Pioneers of the study of radioactivity; forefront of women endeavouring to carve out careers for themselves in individual scientific research,Pionnières dans l'étude de la radioactivité; elle a été parmi les premières femmes qui ont tenté de se tailler une place dans le monde de la recherche scientifique,45.505073,-73.575312
"Brooks, Major Allan C.","Brooks, major Allan C.",250 Allan Brooks Way,Allan Brooks Nature Centre,Vernon,British Columbia,Prominent wildlife illustrator recognized worldwide,"Illustrateur de la faune, très en vue et reconnu mondialement",50.241222,-119.288956
"Brown, George","Brown, George",186 Beverly Street,<Null>,Toronto,Ontario,"Father of Confederation, founded the Toronto Globe (1844); involved in abolititionist and Underground Railroad activities","Père de la Confédération, fondateur du «Toronto Globe» (1844); impliqué dans les activités du mouvement abolitionniste et du chemin de fer clandestin",43.65579,-79.394999
"Browne, George","Browne, George",216 Ontario Street,Kingston City Hall,*    Kingston,Ontario,One of the most gifted architects from the British Isles to have worked in Canada,Un des plus talentueux architectes originaires des îles britanniques à avoir travaillé au Canada,44.229792,-76.480375
"Bruce, James (8th Earl of Elgin)","Bruce, James (huitième comte d'Elgin)",<Null>,<Null>,*    Ottawa,Ontario,Governor General of British North America (1847-54) inaugurated responsible government in the Province of Canada,Gouverneur général de l'Amérique du Nord britannique (1847-1854) qui a inauguré le gouvernement responsable,45.44465,-75.686458
"Bryce, Reverend George","Bryce, révérend George",Balmoral Street and Portage Avenue,University of Winnipeg,Winnipeg,Manitoba,"Historian and educator, founder of Manitoba College","Historien et éducateur, fondateur du Collège du Manitoba",49.890783,-97.152917
"Brymner, Douglas","Brymner, Douglas",395 Wellington Street,National Library and Archives Building,**   Ottawa,Ontario,"First Dominion Archivist, established the Public Archives of Canada (1872)","Premier archiviste du Dominion, a fondé les Archives publiques du Canada (1872)",45.419882,-75.708155
"Brûlé, Étienne","Brûlé, Étienne",Awendal Park Road,Beach 1,Awenda Provincial Park,Ontario,"Coureur de bois, interpreter, lived among Iroquois and Hurons",Coureur des bois et interprète qui a vécu parmi les Iroquois et les Hurons,44.851283,-80.012533
"Buchan, Sir John, 1st Baron Tweedsmuir of Elsfield","Buchan, Sir John, 1st Baron Tweedsmuir of Elsfield",Sussex Drive,Rideau Hall and Landscaped Grounds NHSC,*    Ottawa,Ontario,"Promoted Canadian culture by assisting in the creation of the Governor General's Literary Awards in 1937, Governor-Genral of Canada, Governor-Genral of Canada, 1935-1940","A contribué à promouvoir la culture canadienne en prêtant son concours à la création, en 1937, Gouverneure général du Canada (1935-1940)",45.444696,-75.687391
"Burns, Patrick","Burns, Patrick",10 St. N.W,"Senator Patrick Burns Rock Garden, mounted on a rock part way up the slope",Calgary,Alberta,Prominent rancher and major figure in meat processing industry,Éleveur réputé et personnalité importante de l'industrie de la transformation de la viande,51.060662,-114.086599
"Button, Sir Thomas","Button, sir Thomas",<Null>,Gilliam Island at the mouth of the Nelson River,Gilliam,Manitoba,"Arctic explorer, 1612 expedition discovered Nelson River",Explorateur de l'Arctique dont l'expédition de 1612 a découvert le fleuve Nelson,56.924634,-92.81171
"Cameron, George Frederick","Cameron, George Frederick",111 Provost Street,"Former Post Office Building, Town Office",New Glasgow,Nova Scotia,Poet and journalist,Poète et journaliste,45.588103,-62.644678
"Campbell, Lydia","Campbell, Lydia",3 Courte Manche Street,Lydia Campbell Building,*    Happy Valley-Goose Bay,Newfoundland and Labrador,One of Labrador's most well-known and loved historical figures,Une des figures historiques les plus connues et les plus aimées du Labrador,53.299632,-60.303221
"Campbell, Sir Alexander","Campbell, sir Alexander",<Null>,<Null>,*    Toronto,Ontario,Father of Confederation,Père de la Confédération,43.653511,-79.383965
"Campbell, William Wilfred","Campbell, William Wilfred",787 King Street West,in the auditorium of Kitchener-Waterloo Collegiate Institute,Kitchener,Ontario,"Poet, novelist, historian, dramatist and travel writer","Poète, romancier, historien, dramaturge et auteur de récits de voyage",43.455882,-80.509013
"Camsell, Charles","Camsell, Charles",<Null>,<Null>,*    Fort Simpson,Northwest Territories,Important contribution to understanding the geology of Canada,A beaucoup contribué à accroître notre compréhension de la géologie du Canada,61.861763,-121.347627
"Canniff, William","Canniff, William",<Null>,On wall of Former Thurlow Township Hall,Cannifton,Ontario,"Physician, historian, teacher","Médecin, historien et enseignant",44.202572,-77.391908
"Carleton, Sir Guy (Lord Dorchester)","Carleton, sir Guy (premier baron de Dorchester)",<Null>,<Null>,*    Québec,Quebec,"Governor of Quebec (1768-78), Governor-in-Chief of British North America (1786-96)","Gouverneur de Québec (1768-1778), gouverneur en chef de l'Amérique du Nord britannique (1786-1796)",46.816667,-71.216667
"Carling, Sir John","Carling, sir John",399 Ridout Street North,in Middlesex County Court House NHSC,London,Ontario,"Brewer, federal Minister of Agriculture (1885-92), established Dominion Experimental Farms","Brasseur, ministre fédéral de l'Agriculture (1885-1892), création des Fermes expérimentales du Dominion",42.988015,-81.246017
"Carman, Bliss","Carman, Bliss",Dineen Drive,University of New Brunswick - front lawn of Harriet Irving Building,Fredericton,New Brunswick,One of Canada's best-known poets,Un des poètes les plus réputés au Canada,45.9466,-66.642729
"Carman, Bliss","Carman, Bliss",83 Shore Street,Bliss Carman House,*    Fredericton,New Brunswick,One of Canada's best-known poets,Un des poètes les plus réputés au Canada,45.953462,-66.633076
"Carr, Emily","Carr, Emily",207 Government Street,On Emily Carr House,Victoria,British Columbia,Noted painter and writer,Peintre et auteure bien connue,48.413861,-123.370091
"Carson, William","Carson, William",Corner of Duckworth and Cathedral Streets,On stone wall,St. John's,Newfoundland and Labrador,Advocate of social and political reform in 19th-century Newfoundland,Propagandiste de réformes sociales et politiques à Terre-Neuve au XIXe siècle,47.565274,-52.707189
"Carter, Sir Frederick Bowker Terrington","Carter, sir Frederick Bowker Terrington",Prince Philip Drive and Higgins Line,Confederation Building,St. John's,Newfoundland and Labrador,"Father of Confederation, Prime Minister of Newfoundland (1865-69, 1875-78)","Père de la Confédération, premier ministre de Terre-Neuve (1865-1865, 1875-1878)",47.561464,-52.712784
"Cartier, Sir George-Étienne","Cartier, sir George-Étienne",<Null>,<Null>,*    Montréal,Quebec,"Major 19th-century French-Canadian leader, Father of Confederation","Grande personnalité politique canadienne-française du XIXe siècle, père de la Confédération",45.511192,-73.551741
"Cartwright, Sir Richard John","Cartwright, sir Richard John",216 Ontario Street,in City Hall,Kingston,Ontario,Canadian Minister of Finance (1873-78) and Minister of Trade and Commerce (1896-1904),Ministre canadien des Finances (1873-1878) et ministre du Commerce (1896-1904),44.229956,-76.480359
"Casavant, Joseph","Casavant, Joseph",<Null>,<Null>,Saint-Hyacinthe,Quebec,"Maker of musical instruments, best known as church organ maker","Facteur d'orgues et d'instruments de musique, surtout connu pour ses orgues d'église",45.628614,-72.946965
"Cavelier de La Salle, René-Robert","Cavelier de La Salle, René-Robert",Marquette Promenade,opposite City Hall (1800 Saint Joseph Boulevard),Lachine,Quebec,"Founded Lachine (1667), rebuilt Fort Frontenac (1675), explored west of Great Lakes","A fondé Lachine (1667),reconstruit le Fort Frontenac (1675) et exploré l'ouest des Grands Lacs",45.432424,-73.680211
"Champagne, Claude","Champagne, Claude",<Null>,<Null>,Montréal,Quebec,"Noted composer, musician and educator","Compositeur, musicien et éducateur renommé",45.5,-73.6
"Champlain, Samuel de","Champlain, Samuel de",Dufferin Terrace,<Null>,Québec,Quebec,"Noted explorer, founded Québec, considered father of New France","Explorateur renommé, fondateur de Québec, considéré comme le père de la Nouvelle-France",46.811579,-71.204644
"Champlain, Samuel de","Champlain, Samuel de",<Null>,"Nepean Point, on the statue of Champlain",Ottawa,Ontario,"Noted explorer, founded Québec, considered father of New France","Explorateur renommé, fondateur de Québec, considéré comme le père de la Nouvelle-France",45.429383,-75.701467
"Champlain, Samuel de","Champlain, Samuel de","Brant Street East, end of",Couchiching Beach Park,Orillia,Ontario,"Noted explorer, founded Québec, considered father of New France","Explorateur renommé, fondateur de Québec, considéré comme le père de la Nouvelle-France",44.61596,-79.41333
"Chandler, Edward Barron","Chandler, Edward Barron",Victoria Street East,in Dominion Public Building,Amherst,Nova Scotia,"Father of Confederation, Lieutenant-Governor of New Brunswick (1878-80)","Père de la Confédération, lieutenant-gouverneur du Nouveau-Brunswick (1878-1880)",45.834111,-64.212703
"Chapais, Jean-Charles","Chapais, Jean-Charles",Highway 132 east intersection of Highway 287,monument 25m south west of house,Saint-Denis-De La Bouteillerie,Quebec,"Father of Confederation, senator (1868-85)","Père de la Confédération, sénateur (1868-1885)",47.503095,-69.937671
"Chapais, Sir Thomas","Chapais, sir Thomas",<Null>,<Null>,Saint-Denis-De La Bouteillerie,Quebec,"Historian, senator, member of the Legislative Council of Quebec","Historien, sénateur, membre du Conseil législatif du Québec",47.501783,-69.937475
"Chapleau, Sir Joseph-Adolphe","Chapleau, sir Joseph-Adolphe",<Null>,<Null>,*    Sainte-Thérèse,Quebec,"Premier of Quebec (1879-82), federal cabinet minister (1882-92)","Premier ministre du Québec (1879-1882), ministre du Cabinet fédéral (1882-1892)",45.640176,-73.84308
"Charlton, Margaret Ridley","Charlton, Margaret Ridley",3655 Promenade Sir-William-Osler,McGill University Health Sciences Library,Montréal,Quebec,"Pioneer medical librarian and co-founder of the Medical Library Association, 1898","Pionnière en bibliothéconomie médicale et cofondatrice de la Medical Library Association, 1898",45.503155,-73.582712
